jurisdiccion,fecha,salario_promedio
Chubut,2022-12-01,501852.5671800409
Corrientes,2022-12-01,227770.68838781147
Córdoba,2022-12-01,272318.91078004194
Entre Ríos,2022-12-01,259857.79267610837
Formosa,2022-12-01,238747.45828628776
Jujuy,2022-12-01,249819.91434477209
La Pampa,2022-12-01,274744.29457909457
La Rioja,2022-12-01,242331.0336228762
Mendoza,2022-12-01,241559.54387669652
Misiones,2022-12-01,217375.13678120874
Neuquén,2022-12-01,516859.42526791454
Río Negro,2022-12-01,297517.4278951231
Salta,2022-12-01,248024.45876831684
San Juan,2022-12-01,260039.6603093914
San Luis,2022-12-01,284893.9892445803
Santa Cruz,2022-12-01,539917.5109455793
Santa Fe,2022-12-01,294355.93571570946
Santiago del Estero,2022-12-01,205112.8077904016
Tierra del Fuego,2022-12-01,497110.63915986865
Tucumán,2022-12-01,228779.735767922
Buenos Aires,2023-01-01,234028.97637115218
C.A.B.A.,2023-01-01,297045.90817283344
Catamarca,2023-01-01,176113.02585642043
Chaco,2023-01-01,159141.95616249918
Chubut,2023-01-01,385194.46208314697
Corrientes,2023-01-01,161846.7404542577
Córdoba,2023-01-01,205446.1560149328
Entre Ríos,2023-01-01,187562.74392319794
Formosa,2023-01-01,165846.92869994536
Jujuy,2023-01-01,184860.95106798608
La Pampa,2023-01-01,200998.20724405136
La Rioja,2023-01-01,159044.0143181305
Mendoza,2023-01-01,181534.93891524692
Misiones,2023-01-01,158837.70776552547
Neuquén,2023-01-01,387987.4260009107
Río Negro,2023-01-01,209521.44816749924
Salta,2023-01-01,180975.66785679338
San Juan,2023-01-01,210295.09006822415
San Luis,2023-01-01,214202.6765254431
Santa Cruz,2023-01-01,407342.8774967433
Santa Fe,2023-01-01,222865.01777228576
Santiago del Estero,2023-01-01,146731.23892135415
Tierra del Fuego,2023-01-01,291837.03732638527
Tucumán,2023-01-01,176937.15300783928
Buenos Aires,2023-02-01,237651.4541132385
C.A.B.A.,2023-02-01,306675.0832335324
Catamarca,2023-02-01,181899.57176152134
Chaco,2023-02-01,167444.93872869824
Chubut,2023-02-01,403473.7666606773
Corrientes,2023-02-01,168347.77694578827
Córdoba,2023-02-01,205186.7667562475
Entre Ríos,2023-02-01,189571.92195201738
Formosa,2023-02-01,177485.22346860997
Jujuy,2023-02-01,189228.463845938
La Pampa,2023-02-01,216886.2144181126
La Rioja,2023-02-01,149761.79039990308
Mendoza,2023-02-01,187195.5421116764
Misiones,2023-02-01,167026.62389500285
Neuquén,2023-02-01,421044.4237170204
Río Negro,2023-02-01,240341.234481099
Salta,2023-02-01,195110.4976939246
San Juan,2023-02-01,209810.104208715
San Luis,2023-02-01,217642.11621804372
Santa Cruz,2023-02-01,473547.0216057788
Santa Fe,2023-02-01,230378.72244576988
Santiago del Estero,2023-02-01,157617.95764081736
Tierra del Fuego,2023-02-01,304287.4684791673
Tucumán,2023-02-01,176376.37039293168
Buenos Aires,2023-03-01,263990.0816394838
C.A.B.A.,2023-03-01,346217.1532851769
Catamarca,2023-03-01,206279.7830278014
Chaco,2023-03-01,181657.568346643
Chubut,2023-03-01,411524.20561131905
Corrientes,2023-03-01,183782.37450883051
Córdoba,2023-03-01,221038.79548750026
Entre Ríos,2023-03-01,207595.2221496174
Formosa,2023-03-01,190808.32601618723
Jujuy,2023-03-01,215166.3761812769
La Pampa,2023-03-01,224145.38975971588
La Rioja,2023-03-01,163179.46904541046
Mendoza,2023-03-01,207698.74639510154
Misiones,2023-03-01,180239.8590183552
Neuquén,2023-03-01,466246.55148083734
Río Negro,2023-03-01,253265.2282789189
Salta,2023-03-01,213588.36921532976
San Juan,2023-03-01,220679.55353780274
San Luis,2023-03-01,232275.72252936807
Santa Cruz,2023-03-01,500151.2169697316
Santa Fe,2023-03-01,248751.87301265495
Santiago del Estero,2023-03-01,171858.20341830252
Tierra del Fuego,2023-03-01,354127.39410188515
Tucumán,2023-03-01,190389.33580915898
Buenos Aires,2023-04-01,278194.4514648536
C.A.B.A.,2023-04-01,351686.4240593857
Catamarca,2023-04-01,213501.40844510772
Chaco,2023-04-01,199114.43354312395
Chubut,2023-04-01,450078.29311075766
Corrientes,2023-04-01,198734.55426315012
Córdoba,2023-04-01,243515.48498561647
Entre Ríos,2023-04-01,222234.1052145121
Formosa,2023-04-01,208427.4397658585
Jujuy,2023-04-01,238820.26297517927
La Pampa,2023-04-01,243805.0758124615
La Rioja,2023-04-01,189161.9025276602
Mendoza,2023-04-01,222551.51119728235
Misiones,2023-04-01,187525.29512756757
Neuquén,2023-04-01,486359.0855588413
Río Negro,2023-04-01,279693.18877699476
Salta,2023-04-01,231416.2777766923
San Juan,2023-04-01,233606.58750924058
San Luis,2023-04-01,251699.38398945815
Santa Cruz,2023-04-01,493882.17430048226
Santa Fe,2023-04-01,261411.49695013932
Santiago del Estero,2023-04-01,180570.72165980475
Tierra del Fuego,2023-04-01,359110.94681667245
Tucumán,2023-04-01,189636.95437088577
Buenos Aires,2023-05-01,296429.8846046629
C.A.B.A.,2023-05-01,358882.97222005733
Catamarca,2023-05-01,231805.79204525665
Chaco,2023-05-01,211872.29161439315
Chubut,2023-05-01,474698.6984478008
Corrientes,2023-05-01,211926.3386112233
Córdoba,2023-05-01,256729.96574970844
Entre Ríos,2023-05-01,241429.20495037767
Formosa,2023-05-01,227888.1044572848
Jujuy,2023-05-01,254245.0863216867
La Pampa,2023-05-01,262279.4434464591
La Rioja,2023-05-01,204276.80944087348
Mendoza,2023-05-01,240870.63698248484
Misiones,2023-05-01,202889.68309569047
Neuquén,2023-05-01,524166.4959567983
Río Negro,2023-05-01,303355.32429289905
Salta,2023-05-01,250351.44681251814
San Juan,2023-05-01,251136.0343893246
San Luis,2023-05-01,270646.2403045898
Santa Cruz,2023-05-01,549986.2324269927
Santa Fe,2023-05-01,278594.8902596856
Santiago del Estero,2023-05-01,194457.90709590935
Tierra del Fuego,2023-05-01,406119.14065351215
Tucumán,2023-05-01,206861.4170950036
Buenos Aires,2023-06-01,453974.900461097
C.A.B.A.,2023-06-01,542123.9880145517
Catamarca,2023-06-01,347911.3629950078
Chaco,2023-06-01,319681.2933076844
